New York,NY,18908608,11080.3,2.49,40.3
Los Angeles,CA,11922389,3184.7,2.57,29.3
Chicago,IL,8497759,4614.5,2.88,32.6
Miami,FL,6080145,4758.9,2.44,30.7
Houston,TX,5970127,1384,2.64,38.6
Dallas,TX,5830932,1478.7,2.34,36.6
Philadelphia,PA,5683533,4578.4,2.7,41.2
Atlanta,GA,5180179,1412.3,2.17,46.9
Washington,DC,5116378,4235.7,2.73,34.5
Boston,MA,4328315,5319,2.97,36
Phoenix,AZ,4064275,1198.9,2.73,42.4
Detroit,MI,3725908,1772.2,2.69,41.4
Seattle,WA,3561397,3376.6,2.64,38.6
San Francisco,CA,3364979,7030.7,2.72,29.9
San Diego,CA,3046560,1639.7,2.89,33.8
Minneapolis,MN,2892569,3052.2,2.33,38.6
Tampa,FL,2861173,1320.9,2.91,35.6
Brooklyn,NY,2736074,15200.5,2.56,39.9
Denver,CO,2687458,1792.9,2.97,36.9
Queens,NY,2405464,8503.7,4.15,29.5
Riverside,CA,2332836,1503.9,2.46,38.3
Las Vegas,NV,2248047,1755.1,2.31,39.5
Baltimore,MD,2196524,2788.2,2.53,34.1
St. Louis,MO,2130881,1864.3,2.21,39.3
Portland,OR,2095808,1868.8,2.72,29.9
San Antonio,TX,2058444,1118.8,2.9,34.5
Sacramento,CA,1957738,2049.4,2.67,29.1
Austin,TX,1905945,1154.1,3,33.9
Orlando,FL,1882705,1070.2,2.69,38
San Juan,PR,1814587,3128.8,2.5,32.8
San Jose,CA,1771413,2172.6,2.61,34.9
Pittsburgh,PA,1749091,2118.5,2.6,30.2
Indianapolis,IN,1729849,941.8,2.84,37.2
Manhattan,NY,1694263,28653.9,2.52,37
Cincinnati,OH,1692702,1530.6,2.62,35.7
Kansas City,MO,1689556,620.7,2.97,33
Cleveland,OH,1680247,1839.6,2.82,36.2
Columbus,OH,1572546,1581,2.73,38.3
Bronx,NY,1472654,13356.3,2.7,42.4
Virginia Beach,VA,1443020,722.4,2.98,31.4
Charlotte,NC,1427444,1089.8,3.31,43
Milwaukee,WI,1290940,2301.6,2.64,45.2
Providence,RI,1290271,3979.7,2.56,34.6
Jacksonville,FL,1288298,491,2.64,37.1
Nashville,TN,1177657,555.4,3.2,33.2
Salt Lake City,UT,1173879,700.8,2.3,40.7
Raleigh,NC,1163152,1210,2.75,35.2
Richmond,VA,1073223,1463.7,2.65,38.1
Memphis,TN,1037998,824.8,2.69,26.3
Oklahoma City,OK,998806,433.6,3.15,29.7
Hartford,CT,974684,2689.4,2.3,33
Louisville,KY,963812,923.1,2.69,35.4
Buffalo,NY,944589,2645.7,2.18,41.5
New Orleans,LA,932759,866.5,2.95,31.5
Fort Worth,TX,924663,1021.2,2.52,47.4
Bridgeport,CT,908251,3568.4,2.8,33.4
Tucson,AZ,878320,863.9,2.23,30.7
El Paso,TX,865270,1011.4,2.58,36.5
Omaha,NE,821345,1323.9,3.52,29.4
McAllen,TX,797341,884.4,2.68,31.3
Birmingham,AL,782111,526.4,3.11,38.5
Albuquerque,NM,769986,1159.8,2.46,38.4
Tulsa,OK,731743,804.2,2.97,36.8
Fresno,CA,725276,1805.3,3.11,36.1
Charleston,SC,706884,503.3,2.71,43.7
Rochester,NY,699921,2278,2.52,34.3
Dayton,OH,668825,950,3.65,33.4
Cape Coral,FL,654405,724.2,2.24,44.8
Mission Viejo,CA,642211,2038.4,2.89,33.8
Colorado Springs,CO,638194,917.5,2.45,29.6
Baton Rouge,LA,635671,1001.4,3.9,30.7
Allentown,PA,627863,2754.2,2.69,41.4
Ogden,UT,622918,1215.9,3,45.5
Provo,UT,619218,1059.2,2.64,37.1
Knoxville,TN,615829,750.3,3.32,34.3
Grand Rapids,MI,609023,1708.2,2.64,39.3
Columbia,SC,604065,383.1,2.6,30.2
Albany,NY,590694,1798.3,2.72,37.7
Bakersfield,CA,571992,1038.8,2.65,31.5
New Haven,CT,565572,2804.1,3.04,33.5
Des Moines,IA,548926,933.4,2.17,28.1
Akron,OH,541945,1186.2,2.08,32.7
Palm Bay,FL,534348,542.9,,39.4
Concord,CA,531175,1579.4,3.75,32.6
Wichita,KS,509003,938.6,2.72,32.4
Mesa,AZ,503390,1379.8,2.61,36
Harrisburg,PA,498329,2380.4,3.7,40.4
Staten Island,NY,495747,3286.2,2.69,26.3
Toledo,OH,493302,1295,2.91,42.1
Worcester,MA,486486,2110.2,2.4,32.7
Long Beach,CA,462293,3522.5,3.72,30.4
Port St. Lucie,FL,462047,681.8,2.18,37.9
Little Rock,AR,459409,649.4,2.24,33.8
Reno,NV,457702,940.5,2.9,34.5
Spokane,WA,456219,1279.8,2.59,33.6
Madison,WI,451652,1268.3,2.48,35.5
Boise,ID,449776,1072.4,2.84,37.2
Bonita Springs,FL,449527,542.2,2.68,36
Denton,TX,438492,567.5,2.41,38.2
Oakland,CA,437825,3020.6,4.13,35.8
Springfield,MA,437752,1881.5,3.46,38.5
Augusta,GA,437257,257.5,2.56,38.1
Kissimmee,FL,431618,1409.2,2.4,32
Winston-Salem,NC,427706,721.6,2.58,45.8
Stockton,CA,413637,1980.5,2.78,32
Syracuse,NY,410732,2251.6,2.66,39.6
Chattanooga,TN,406849,491.7,3.13,33.1
Lancaster,PA,402476,3096.9,3.12,34.5
Greenville,SC,401443,917.9,2.52,22.9
Durham,NC,399616,950.8,2.32,33.4
Pensacola,FL,398813,917,2.4,33.1
Fayetteville,AR,394650,672.8,2.52,36.3
Arlington,TX,393469,1585.1,2.52,37
Aurora,CO,387349,920.3,2.43,31
Oxnard,CA,369962,2944.1,2.66,28.7
Indio,CA,369654,1042.7,2.1,42.5
Scranton,PA,366334,1161.3,2.97,35.2
Victorville,CA,364015,704.1,2.27,41.6
Trenton,NJ,362179,4571.3,2.43,36.7
Modesto,CA,354183,1955.8,2.33,34.1
Huntsville,AL,349482,376.2,3.28,23.6
Honolulu,HI,348547,2219.9,2.48,35.5
Greensboro,NC,347130,873.2,2.21,35.6
Anaheim,CA,347111,2665.3,2.75,31
Corpus Christi,TX,337230,756.1,2.79,37
Fort Wayne,IN,337163,923,3.27,33.4
Fort Collins,CO,335398,1142.2,2.81,31.8
Jackson,MS,335171,529.9,2.45,34.7
Myrtle Beach,SC,332181,594.6,4.58,30.8
Fayetteville,NC,328804,543.5,2.26,32.8
Antioch,CA,327216,1522.3,2.34,43
Lansing,MI,322561,1114.5,2.64,40.1
Lexington,KY,321276,437,2.46,35.1
Mobile,AL,320855,515.7,2.63,37.6
Youngstown,OH,319065,683.3,2.43,31
Henderson,NV,318063,1153.8,2.35,27.4
Savannah,GA,316050,524.8,2.63,36.1
Poughkeepsie,NY,314159,2380.4,4.08,30.1
Santa Ana,CA,311379,4391.5,3.87,33.8
Ann Arbor,MI,308983,1671.9,3.55,35.7
St. Paul,MN,308806,2294.1,2.47,35.3
Newark,NJ,307355,4915.2,2.78,32.1
Irvine,CA,304527,1792.1,3.83,31.6
Santa Rosa,CA,296180,1618.1,3.63,32.1
Canton,OH,294047,1034.3,2.19,34.4
Asheville,NC,294013,795.6,2.13,40.3
Flint,MI,293893,945.2,2.55,36.3
Winter Haven,FL,293093,596.3,2.56,33.7
Anchorage,AK,290674,65.8,2.75,31
Lincoln,NE,290531,1132.1,3.66,37.8
Concord,NC,288783,635.4,2.55,36.8
Jersey City,NJ,287899,7537.2,2.63,36.1
Springfield,MO,286280,784.5,2.6,34.8
Plano,TX,284948,1534.7,2.59,33.6
Shreveport,LA,283536,664.7,2.46,33.5
Davenport,IA,281333,614,2.47,34.2
Lubbock,TX,280890,722.2,2.55,36.3
Lakeland,FL,280346,663.9,2.44,26.5
South Bend,IN,278061,948.2,2.17,46.9
Chula Vista,CA,276103,2147.6,2.39,38.5
Chandler,AZ,275618,1624.6,2.85,35.4
Rockford,IL,273237,881.3,2.52,33.4
Reading,PA,272712,3710.8,3.14,32.7
Eugene,OR,270990,1543.4,2.57,36.9
Wilmington,NC,268625,878.3,2.67,33.5
Santa Clarita,CA,268273,1232.5,3.75,32.6
Gilbert,AZ,267267,1503.9,2.16,35
Salem,OR,266420,1387.5,2.87,41.3
Killeen,TX,265921,1086.4,2.54,35.1
Round Lake Beach,IL,264451,2084.1,2.24,35.5
Columbus,GA,264282,364.8,2.97,36
North Las Vegas,NV,264022,996.2,2.3,40.8
Kennewick,WA,259995,1138.5,3.27,33.3
St. Petersburg,FL,259343,1620.2,2.46,36
Tallahassee,FL,258696,751.3,2.78,32
Laredo,TX,255293,922.7,3.31,29.3
Irving,TX,254962,1469.7,2.8,34.5
Peoria,IL,253467,908.7,2.64,36.1
Montgomery,AL,251158,482.6,2.79,33.2
Chesapeake,VA,249377,284.5,2.82,36.7
Glendale,AZ,248083,1451.1,2.62,33.7
York,PA,247176,3267,2.31,35.3
Nashua,NH,245209,1138.8,2.81,40.2
Garland,TX,244026,1649.6,2.08,32.8
Scottsdale,AZ,240537,504.7,2.33,34.9
Lafayette,LA,237565,839.2,2.59,31
Norfolk,VA,236973,1717.4,2.69,33.6
Arlington,VA,235845,3502.7,3.03,34.3
Appleton,WI,233947,1145.4,2.74,37.3
Aguadilla,PR,228854,1751.5,2.57,34.3
Rock Hill,SC,228811,655.4,2.39,41.6
Fremont,CA,228795,1131,2.86,38.3
Fargo,ND,228364,968.3,2.97,36.8
Gulfport,MS,228022,503.4,2.24,36
Bremerton,WA,226805,597.3,2.97,33.1
Green Bay,WI,225633,907.1,2.32,28
Enterprise,NV,225461,1319,2.89,34.1
Hialeah,FL,222996,3989.5,2.46,36
Deltona,FL,221137,976.3,2.73,42.4
San Bernardino,CA,221041,1373.7,2.52,37
Gainesville,FL,220929,860.2,2.66,32.6
Spring Valley,NV,220114,2393.6,2.72,39.4
Tacoma,WA,219234,1702.7,2.35,32.5
Roanoke,VA,218533,900.9,3.14,35
Brownsville,TX,215269,548.4,2.52,33.4
College Station,TX,213177,909,2.67,33.5
Olympia,WA,210877,1168.7,2.2,36.6
Clarksville,TN,210551,650.9,2.95,34.9
Yonkers,NY,209780,4498.4,2.41,38.2
Moreno Valley,CA,209578,1577.1,3.15,34.5
Thousand Oaks,CA,209570,884.1,2.37,43.4
Portland,ME,209491,1223.9,2.39,38.6
Fontana,CA,209279,1867.1,2.38,34.6
Hickory,NC,206008,539.2,2.68,42.1
Amarillo,TX,205903,750.2,2.18,38.1
Sioux Falls,SD,204484,926,2.76,36.2
Evansville,IN,203661,953.2,2.33,26
Huntington,WV,202754,1110.2,2.25,28.7
Waterbury,CT,202422,1547.8,3.12,34.9
Frisco,TX,202075,1137.6,2.58,35.7
Lorain,OH,201808,1065.4,2.88,35.2
Kalamazoo,MI,200838,1146.8,2.37,35
Galveston,TX,200451,501.2,3.31,32.2
Spartanburg,SC,200000,730.2,3.27,33.3
Santa Barbara,CA,199023,1754.6,2.63,37.8
Sunrise Manor,NV,198325,2271.3,2.29,37.7
Huntington Beach,CA,197481,2825.9,3.13,36.5
Grand Prairie,TX,197279,1050.5,2.73,34.6
Overland Park,KS,196676,1009.4,2.4,32.7
McKinney,TX,196160,1131,2.81,40.2
Waco,TX,195709,604.6,2.4,32.5
Hagerstown,MD,195261,1334,2.4,47
Glendale,CA,194512,2464,2.39,30.3
Nampa,ID,193935,1139.2,2.82,40.7
Peoria,AZ,191292,419.5,2.9,35.8
Cedar Rapids,IA,191104,724,2.58,36.5
Vancouver,WA,190700,1510.4,2.53,36.8
Paradise,NV,189733,1727.6,2.82,36.7
Ocala,FL,186840,518.8,2.13,32.9
Erie,PA,185556,1913.7,2.55,34.1
Newport News,VA,185118,1035.9,2.35,32.5
Frederick,MD,184991,1263.9,2.52,37
Murfreesboro,TN,184763,926.1,2.49,35.6
Fort Lauderdale,FL,182673,2039.5,3.83,31.6
Aurora,IL,181405,1555.1,2.37,32.9
Tempe,AZ,181005,1748.3,2.77,39.7
Danbury,CT,180143,794.2,2.61,35.4
Spring Hill,FL,178833,753.2,3.04,31.8
Gastonia,NC,178220,598.7,2.58,31.5
Salinas,CA,177410,2672.8,2.46,38.3
Fredericksburg,VA,176791,1044,2.59,33.6
Ontario,CA,176326,1362,2.84,37.2
Elk Grove,CA,176105,1596.1,2.37,43.4
Gainesville,GA,175569,493.1,4.58,30.8
Cary,NC,174880,1126.5,3.14,35
Rancho Cucamonga,CA,174696,1450.5,2.67,41.6
Oceanside,CA,173722,1625.3,4.98,34.2
Garden Grove,CA,171637,3691.2,2.55,35
Lancaster,CA,171465,702.2,2.85,40.6
Hemet,CA,170621,1182.9,2.41,38.2
Pembroke Pines,FL,170472,2014,2.34,36.6
Panama City,FL,169810,373.9,2.47,31.6
Vallejo,CA,169541,1588.3,2.32,33.4
Manchester,NH,169097,1343.1,2.32,28
Medford,OR,168959,1191.6,2.87,35.3
Bayamón,PR,168698,2404.7,2.52,34.3
Mauldin,SC,168313,808.4,2,40.6
Santa Cruz,CA,167835,1859.8,2.33,23.5
Palmdale,CA,166895,607.5,2.4,33.2
Norwich,CT,166885,551.1,2.53,36.8
Muskegon,MI,166847,1045.2,3.08,35.9
Leesburg,FL,166200,270.6,2.24,36
High Point,NC,164836,774.3,2.66,32.6
Tuscaloosa,AL,164414,660,2.29,34.5
Visalia,CA,163681,1433,2.73,34.6
Marysville,WA,162664,1318.1,2.21,35.6
Merced,CA,160638,1455.9,2.16,23
Hayward,CA,160602,1353.4,2.73,34.6
Lafayette,IN,160543,930.9,2.75,35.2
Springfield,IL,159671,721,2.41,35.9
Corona,CA,158346,1532.6,2.4,42.6
Paterson,NJ,157864,7244.8,2.58,45.1
Alexandria,VA,157594,4074.1,2.72,39.4
Macon,GA,156554,242.4,2.38,26.2
Binghamton,NY,156375,1754.4,2.48,28.7
Lakewood,CO,156149,1387.3,3.27,42.9
Kansas City,KS,155438,481.1,2.65,37.2
Odessa,TX,155039,850.4,4.43,29.4
Sunnyvale,CA,154573,2705.4,2.77,40.8
New Bedford,MA,153701,1942.4,2.29,37.7
Hollywood,FL,152764,2164.4,2.76,40.3
South Lyon,MI,152132,1216.5,2.76,38.5
Escondido,CA,151114,1562.3,2.61,34.9
Lake Charles,LA,151109,670.5,2.39,41.6
Pasadena,TX,150620,1331.1,3.16,32.5
Bellevue,WA,150606,1737.5,2.53,27.4
Joliet,IL,150221,882.1,2.53,27.4
Champaign,IL,150179,1488.4,2.73,34.6
Pomona,CA,149831,2516.9,2.4,33.1
Fairfield,CA,149635,1108.7,2.77,36
Mesquite,TX,149439,1175.4,2.48,35.5
Elkhart,IN,149423,752.7,2.29,37.7
Naperville,IL,149089,1471.7,2.68,36.9
St. George,UT,148895,481.3,2.55,29.4
Roseville,CA,148879,1303.8,3.12,34.5
Topeka,KS,148185,792.2,2.22,38.8
Burlington,NC,147415,726.6,2.38,35.3
Warner Robins,GA,146790,819.4,2.48,37.7
Surprise,AZ,145591,509.4,2.71,36.2
Torrance,CA,145454,2737.4,2.49,36.8
Santa Maria,CA,143647,1854.2,2.44,34.9
Athens,GA,143173,420,2.39,41
Houma,LA,143160,883.2,3.26,39.7
Columbia,MO,142637,725.2,2.55,29.4
Fullerton,CA,142280,2450.2,3.3,35.3
Olathe,KS,142114,878.6,4.98,34.2
Thornton,CO,141799,1500.2,2.39,41
Greeley,CO,140984,843.2,2.24,29
Beaumont,TX,140930,537.6,2.71,36.2
Las Cruces,NM,140915,558.4,2.29,36.8
Midland,TX,140171,673.3,2.59,38.9
Metairie,LA,140046,2334.8,3.31,34
Carolina,PR,139201,2594.9,2.23,30.7
West Valley City,UT,138868,1496.6,3.47,30.6
Orange,CA,138728,2086.8,2.4,36.3
Warren,MI,138588,1556.5,2.4,35.4
Grand Junction,CO,138416,628.7,2.36,25.5
Tyler,TX,138024,711.1,2.28,45.1
Pasadena,CA,137554,2313.2,2.53,35.2
Hampton,VA,137217,1029.5,2.36,26.4
Bloomington,IL,136524,1122,3.13,34.9
Elizabeth,NJ,135665,4252.1,2.87,35.3
Stamford,CT,135413,1389.9,2.37,26.8
Yuma,AZ,135389,307.8,3.22,34.6
Kent,WA,135169,1542.6,2.58,38.5
Miramar,FL,135158,1808.6,2.97,34.5
Coeur d'Alene,ID,134503,1309.1,2.59,38.9
Coral Springs,FL,133801,2259.4,2.31,39.5
Sterling Heights,MI,133744,1416.8,2.4,46.8
Yuba City,CA,133106,1751.4,2.62,33.7
Yakima,WA,132354,1343.7,2.76,48.8
Carrollton,TX,132284,1393.3,2.38,33.3
Racine,WI,132006,1932.5,3.87,33.8
Johnson City,TN,131718,628.5,2.72,29.9
Billings,MT,131519,998.3,2.23,40.4
Iowa City,IA,130736,1127,2.39,38.5
Dover,DE,130186,634.2,3.45,33.6
Bellingham,WA,129880,1250.8,2.36,31.4
Charleston,WV,129754,594.8,2.27,33.1
Lynchburg,VA,128849,624.1,2.29,33.6
Santa Clara,CA,128058,2705.3,4.58,30.8
Norman,OK,127701,276,2.74,35.7
Greenville,NC,127574,906.4,2.67,33.7
Simi Valley,CA,127568,1172.4,2.51,31.6
Fort Smith,AR,126452,537.3,2.65,31.5
Abilene,TX,126356,457.4,2.57,30.3
Arecibo,PR,125727,1007.8,2.95,34.9
Lewisville,TX,125028,1187.4,2.59,34.8
Pearland,TX,124478,987.1,2.48,29.9
